Sample no,Year,barangay,sex,age,disease,cases
548,2017,anos,female,1-4,H81,0
549,2017,anos,male,5-9,H81,0
550,2017,anos,female,5-9,H81,0
551,2017,anos,male,10-14,H81,0
552,2017,anos,female,10-14,H81,0
553,2017,anos,male,15-19,H81,0
554,2017,anos,female,15-19,H81,2
555,2017,anos,male,20-24,H81,1
556,2017,anos,female,20-24,H81,0
557,2017,anos,male,25-29,H81,0
558,2017,anos,female,25-29,H81,2
559,2017,anos,male,30-34,H81,0
560,2017,anos,female,30-34,H81,0
561,2017,anos,male,35-39,H81,0
562,2017,anos,female,35-39,H81,0
563,2017,anos,male,40-44,H81,1
564,2017,anos,female,40-44,H81,3
565,2017,anos,male,45-49,H81,0
566,2017,anos,female,45-49,H81,0
567,2017,anos,male,50-54,H81,0
568,2017,anos,female,50-54,H81,0
569,2017,anos,male,55-59,H81,2
570,2017,anos,female,55-59,H81,0
571,2017,anos,male,60-64,H81,0
572,2017,anos,female,60-64,H81,1
573,2017,anos,male,65-69,H81,1
574,2017,anos,female,65-69,H81,1
575,2017,anos,male,70 Above,H81,0
576,2017,anos,female,70 Above,H81,0
577,2017,bagong silang,male,under 1,J06,4
578,2017,bagong silang,female,under 1,J06,8
579,2017,bagong silang,male,1-4,J06,31
580,2017,bagong silang,female,1-4,J06,52
581,2017,bagong silang,male,5-9,J06,31
582,2017,bagong silang,female,5-9,J06,35
583,2017,bagong silang,male,10-14,J06,19
584,2017,bagong silang,female,10-14,J06,15
585,2017,bagong silang,male,15-19,J06,8
586,2017,bagong silang,female,15-19,J06,6
587,2017,bagong silang,male,20-24,J06,4
588,2017,bagong silang,female,20-24,J06,7
589,2017,bagong silang,male,25-29,J06,5
590,2017,bagong silang,female,25-29,J06,11
591,2017,bagong silang,male,30-34,J06,4
592,2017,bagong silang,female,30-34,J06,14
593,2017,bagong silang,male,35-39,J06,4
594,2017,bagong silang,female,35-39,J06,17
595,2017,bagong silang,male,40-44,J06,2
596,2017,bagong silang,female,40-44,J06,13
597,2017,bagong silang,male,45-49,J06,2
598,2017,bagong silang,female,45-49,J06,9
599,2017,bagong silang,male,50-54,J06,2
600,2017,bagong silang,female,50-54,J06,5
601,2017,bagong silang,male,55-59,J06,0
602,2017,bagong silang,female,55-59,J06,2
603,2017,bagong silang,male,60-64,J06,2
604,2017,bagong silang,female,60-64,J06,10
605,2017,bagong silang,male,65-69,J06,1
606,2017,bagong silang,female,65-69,J06,2
607,2017,bagong silang,male,70 Above,J06,0
608,2017,bagong silang,female,70 Above,J06,1
609,2017,bagong silang,male,under 1,B34,0
610,2017,bagong silang,female,under 1,B34,3
611,2017,bagong silang,male,1-4,B34,7
612,2017,bagong silang,female,1-4,B34,13
613,2017,bagong silang,male,5-9,B34,14
614,2017,bagong silang,female,5-9,B34,10
615,2017,bagong silang,male,10-14,B34,2
616,2017,bagong silang,female,10-14,B34,4
617,2017,bagong silang,male,15-19,B34,0
618,2017,bagong silang,female,15-19,B34,1
619,2017,bagong silang,male,20-24,B34,0
620,2017,bagong silang,female,20-24,B34,0
621,2017,bagong silang,male,25-29,B34,0
622,2017,bagong silang,female,25-29,B34,1
623,2017,bagong silang,male,30-34,B34,1
624,2017,bagong silang,female,30-34,B34,1
625,2017,bagong silang,male,35-39,B34,0
626,2017,bagong silang,female,35-39,B34,1
627,2017,bagong silang,male,40-44,B34,1
628,2017,bagong silang,female,40-44,B34,2
629,2017,bagong silang,male,45-49,B34,0
630,2017,bagong silang,female,45-49,B34,0
631,2017,bagong silang,male,50-54,B34,0
632,2017,bagong silang,female,50-54,B34,0
633,2017,bagong silang,male,55-59,B34,0
634,2017,bagong silang,female,55-59,B34,1
635,2017,bagong silang,male,60-64,B34,0
636,2017,bagong silang,female,60-64,B34,0
637,2017,bagong silang,male,65-69,B34,0
638,2017,bagong silang,female,65-69,B34,0
639,2017,bagong silang,male,70 Above,B34,0
640,2017,bagong silang,female,70 Above,B34,0
641,2017,bagong silang,male,under 1,K04,0
642,2017,bagong silang,female,under 1,K04,0
643,2017,bagong silang,male,1-4,K04,3
644,2017,bagong silang,female,1-4,K04,2
645,2017,bagong silang,male,5-9,K04,1
646,2017,bagong silang,female,5-9,K04,5
